seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
59092,17.295,18.558,10.16,0,0,0,0
59093,17.287,18.543,10.17,0,0,0,0
59094,17.287,18.538,10.178,0,0,0,0
59095,17.287,18.54,10.195,0,0,0,0
59096,17.282,18.53,10.212,0,0,0,0
59097,17.286,18.522,10.225,0,0,0,0
59098,17.298,18.52,10.232,0,0,0,0
59099,17.302,18.515,10.235,0,0,0,0
59100,17.279,18.53,10.249,0,0,0,0
59101,17.262,18.516,10.243,0,0,0,0
59102,17.251,18.528,10.234,0,0,0,0
59103,17.269,18.517,10.219,0,0,0,0
59104,17.269,18.525,10.234,0,0,0,0
59105,17.257,18.536,10.244,0,0,0,0
59106,17.248,18.524,10.231,0,0,0,0
59107,17.233,18.492,10.182,0,0,0,0
59108,17.214,18.46,10.182,0,0,0,0
59109,17.19,18.467,10.223,0,0,0,0
59110,17.154,18.438,10.279,0,0,0,0
59111,17.105,18.508,10.331,0,0,0,0
59112,17.077,18.414,10.361,0,0,0,0
59113,17.036,18.385,10.405,0,0,0,0
59114,17.035,18.378,10.465,0,0,0,0
59115,17.274,18.611,10.605,0,0,0,0
59116,17.495,18.844,10.652,0,0,0,0
59117,17.545,18.887,10.559,0,0,0,0
59118,17.511,18.842,10.542,0,0,0,0
59119,17.459,18.829,10.58,0,0,0,0
59120,17.445,18.83,10.689,0,0,0,0
59121,17.462,18.812,10.755,0,0,0,0
59122,17.478,18.805,10.767,0,0,0,0
59123,17.506,18.818,10.772,0,0,0,0
59124,17.526,18.833,10.783,0,0,0,0
59125,17.559,18.858,10.778,0,0,0,0
59126,17.603,18.9,10.743,0,0,0,0
59127,17.637,18.953,10.726,0,0,0,0
59128,17.668,18.993,10.739,0,0,0,0
59129,17.686,19.041,10.777,0,0,0,0
59130,17.695,19.06,10.815,0,0,0,0
59131,17.705,19.052,10.837,0,0,0,0
59132,17.716,19.05,10.867,0,0,0,0
59133,17.717,19.028,10.88,0,0,0,0
59134,17.705,19.029,10.902,0,0,0,0
59135,17.688,19.017,10.929,0,0,0,0
59136,17.675,18.997,10.967,0,0,0,0
59137,17.641,18.982,10.978,0,0,0,0
59138,17.679,19.005,10.951,0,0,0,0
59139,17.712,19.011,10.89,0,0,0,0
59140,17.756,19.004,10.826,0,0,0,0
59141,17.758,19.012,10.795,0,0,0,0
59142,17.741,19.002,10.801,0,0,0,0
59143,17.731,18.991,10.826,0,0,0,0
59144,17.737,18.971,10.838,0,0,0,0
59145,17.755,18.973,10.842,0,0,0,0
59146,17.763,18.974,10.83,0,0,0,0
59147,17.77,18.982,10.814,0,0,0,0
59148,17.767,18.976,10.798,0,0,0,0
59149,17.766,18.97,10.797,0,0,0,0
59150,17.774,18.96,10.803,0,0,0,0
59151,17.791,18.96,10.8,0,0,0,0
59152,17.814,18.956,10.774,0,0,0,0
59153,17.84,18.965,10.745,0,0,0,0
59155,17.823,18.962,10.706,0,0,0,0
59156,17.785,18.97,10.751,0,0,0,0
59157,17.749,18.959,10.801,0,0,0,0
59158,17.722,18.954,10.853,0,0,0,0
59159,17.716,18.977,10.91,0,0,0,0
59160,17.714,18.987,10.945,0,0,0,0
59161,17.713,19.001,10.974,0,0,0,0
59162,17.698,19.018,11.001,0,0,0,0
59163,17.696,19.034,11.028,0,0,0,0
59164,17.688,19.051,11.055,0,0,0,0
59165,17.675,19.06,11.081,0,0,0,0
59166,17.663,19.063,11.113,0,0,0,0
59167,17.646,19.076,11.147,0,0,0,0
59168,17.631,19.074,11.16,0,0,0,0
59169,17.634,19.067,11.164,0,0,0,0
59170,17.641,19.047,11.162,0,0,0,0
59171,17.652,19.033,11.158,0,0,0,0
59172,17.671,19.021,11.15,0,0,0,0
59173,17.686,19.02,11.146,0,0,0,0
59174,17.68,19.003,11.135,0,0,0,0
59175,17.678,18.999,11.126,0,0,0,0
59176,17.675,18.999,11.12,0,0,0,0
59177,17.667,19.001,11.138,0,0,0,0
59178,17.656,19.001,11.157,0,0,0,0
59179,17.652,19.013,11.188,0,0,0,0
59180,17.658,19.018,11.212,0,0,0,0
59181,17.67,19.025,11.228,0,0,0,0
59182,17.678,19.028,11.235,0,0,0,0
59183,17.678,19.026,11.242,0,0,0,0
59184,17.669,19.027,11.254,0,0,0,0
59185,17.648,19.043,11.273,0,0,0,0
59186,17.624,19.047,11.285,0,0,0,0
59187,17.601,19.056,11.289,0,0,0,0
59188,17.602,19.059,11.318,0,0,0,0
59189,17.614,19.061,11.349,0,0,0,0
59190,17.635,19.063,11.363,0,0,0,0
59191,17.648,19.068,11.376,0,0,0,0
59192,17.632,19.071,11.358,0,0,0,0
59193,17.605,19.066,11.365,0,0,0,0
